"external"	"data_type"	"year_"	"ID"	"UL"	"UR"	"LL"	"LR"	"sex"	"lat"	"lon"	"caught_time"	"dead"
1	"survey_plot"	2018	"245125728"	"Y"	NA	"M"	NA	"M"	-2084343.22590128	2981.99982429095	2018-06-27 18:03:00	0
1	"survey_plot"	2018	"245125729"	"Y"	NA	"M"	"DG,R,DG"	"M"	-2084206.49046343	2861.91148904307	2018-06-27 16:30:00	0
1	"survey_plot"	2018	"245125732"	"Y"	NA	"M"	"DG,R,LB"	"M"	-2084362.06710028	2716.13376798315	2018-06-27 14:18:00	0
1	"survey_plot"	2018	"245125733"	"Y"	NA	"M"	"DG,R,Y"	"M"	-2084535.70823273	2878.46280004738	2018-06-27 12:46:00	0
1	"survey_plot"	2018	"245125735"	"Y"	NA	"M"	"DG,R,O"	"M"	-2084521.30545738	2967.26574291623	2018-06-27 11:10:00	0
1	"survey_plot"	2018	"245125751"	"Y"	NA	"M"	"O,DG,O"	"F"	-2078829.82335008	-1506.38447295529	2018-06-03 10:25:00	0
1	"survey_plot"	2018	"245125752"	"Y"	NA	"M"	"O,DG,R"	"M"	-2078829.82335008	-1506.38447295529	2018-06-03 11:21:00	0
1	"survey_plot"	2018	"245125753"	"Y"	NA	"M"	"O,DG,LB"	"F"	-2078829.82335008	-1506.38447295529	2018-06-03 12:15:00	0
1	"survey_plot"	2018	"245125754"	"Y"	NA	"M"	"O,DG,Y"	"F"	-2078829.82335008	-1506.38447295529	2018-06-03 13:05:00	0
1	"survey_plot"	2018	"245125755"	"Y"	NA	"M"	"O,R,O"	"M"	-2078829.82935111	-1498.08008489534	2018-06-03 17:40:00	0
1	"survey_plot"	2018	"245125756"	"Y"	NA	"M"	"R,O,LB"	"F"	-2078829.82935111	-1498.08008489534	2018-06-03 18:00:00	0
1	"survey_plot"	2018	"245125757"	"Y"	NA	"M"	"R,O,Y"	"M"	-2078829.82935111	-1498.08008489534	2018-06-03 18:50:00	0
1	"survey_plot"	2018	"245125758"	"Y"	NA	"M"	"R,O,DG"	"F"	-2078829.82935111	-1498.08008489534	2018-06-03 18:50:00	0
1	"survey_plot"	2018	"245125759"	"Y"	NA	"M"	"R,LB,O"	"M"	-2078898.48937019	-1773.84452498558	2018-06-11 11:10:00	0
1	"survey_plot"	2018	"245125760"	"Y"	NA	"M"	"R,LB,R"	"F"	-2078444.11772369	-1714.22980827741	2018-06-11 12:45:00	0
1	"survey_plot"	2018	"245125761"	"Y"	NA	"M"	"R,LB,Y"	"M"	-2078443.27775549	-1714.22911550029	2018-06-11 12:15:00	0
1	"survey_plot"	2018	"245125762"	"Y"	NA	"M"	"R,LB,DG"	"F"	-2078431.43942323	-1807.21074039423	2018-06-12 16:50:00	0
1	"survey_plot"	2018	"245125764"	"Y"	NA	"M"	"LB,R,Y"	"M"	-2078427.31195192	-1721.96521418936	2018-06-16 09:35:00	0
1	"survey_plot"	2018	"245125765"	"Y"	NA	"M"	"LB,R,DG"	"F"	-2078422.26984659	-1724.72862539611	2018-06-16 09:35:00	0
1	"survey_plot"	2018	"245125766"	"Y"	NA	"M"	"LB,Y,O"	"M"	-2078212.19770123	-1818.08934432043	2018-06-16 12:05:00	0
1	"survey_plot"	2018	"245125767"	"Y"	NA	"M"	"LB,Y,R"	"F"	-2078212.19770123	-1818.08934432043	2018-06-16 12:05:00	0
1	"survey_plot"	2018	"245125768"	"Y"	NA	"M"	"LB,Y,LB"	"M"	-2078156.5102178	-2083.69520826269	2018-06-16 13:20:00	0
1	"survey_plot"	2018	"245125769"	"Y"	NA	"M"	"LB,Y,DG"	"F"	-2078155.66802549	-2085.90815137981	2018-06-16 13:20:00	0
1	"survey_plot"	2018	"245125770"	"Y"	NA	"M"	"LB,DG,O"	"F"	-2078179.15757294	-2115.26474563824	2018-06-16 14:15:00	0
1	"survey_plot"	2018	"245125771"	"Y"	NA	"M"	"LB,DG,R"	"M"	-2078179.15757294	-2115.26474563824	2018-06-16 14:15:00	0
1	"survey_plot"	2018	"245125772"	"Y"	NA	"M"	"LB,DG,Y"	"M"	-2078527.88363567	-1974.4654662011	2018-06-16 15:48:00	0
1	"survey_plot"	2018	"245125773"	"Y"	NA	"M"	"LB,DG,LB"	"F"	-2078527.88363567	-1974.4654662011	2018-06-16 15:48:00	0
1	"survey_plot"	2018	"245125774"	"Y"	NA	"M"	"Y,O,R"	"F"	-2078528.72465416	-1973.35917274969	2018-06-16 16:28:00	0
1	"survey_plot"	2018	"245125775"	"Y"	NA	"M"	"Y,O,LB"	"M"	-2078528.72465416	-1973.35917274969	2018-06-16 16:28:00	0
1	"survey_plot"	2018	"245125776"	"Y"	NA	"M"	"Y,O,DG"	"F"	-2078489.16076683	-2061.3337818408	2018-06-17 12:00:00	0
1	"survey_plot"	2018	"245125777"	"Y"	NA	"M"	"Y,O,Y"	"M"	-2078489.16076683	-2061.3337818408	2018-06-17 12:00:00	0
1	"survey_plot"	2018	"245125778"	"Y"	NA	"M"	"Y,R,LB"	"M"	-2078491.68615171	-2055.80092276778	2018-06-17 12:50:00	0
1	"survey_plot"	2018	"245125779"	"Y"	NA	"M"	"Y,R,O"	"F"	-2078491.68615171	-2055.80092276778	2018-06-17 12:50:00	0
1	"survey_plot"	2018	"245125780"	"Y"	NA	"M"	"Y,R,DG"	"F"	-2078552.39235002	-1810.08367183697	2018-06-17 14:05:00	0
1	"survey_plot"	2018	"245125781"	"Y"	NA	"M"	"Y,R,Y"	"M"	-2078552.39235002	-1810.08367183697	2018-06-17 14:05:00	0
1	"survey_plot"	2018	"245125782"	"Y"	NA	"M"	"Y,DG,O"	"M"	-2078796.24781284	-1474.25034474496	2018-06-17 15:50:00	0
1	"survey_plot"	2018	"245125783"	"Y"	NA	"M"	"Y,DG,R"	"F"	-2078796.24781284	-1474.25034474496	2018-06-17 15:50:00	0
1	"survey_plot"	2018	"245125784"	"Y"	NA	"M"	"Y,LB,O"	"M"	-2078634.95989064	-1494.618209334	2018-06-18 16:11:00	0
1	"survey_plot"	2018	"245125785"	"Y"	NA	"M"	"Y,LB,R"	"M"	-2078056.76569545	-1860.01331956046	2018-06-18 17:42:00	0
1	"survey_plot"	2018	"245125786"	"Y"	NA	"M"	"Y,LB,Y"	"M"	-2078499.24859456	-2053.04071078494	2018-06-19 13:43:00	0
1	"survey_plot"	2018	"245125787"	"Y"	NA	"M"	"Y,LB,DG"	"M"	-2078244.15296114	-1776.05355626867	2018-06-19 15:55:00	0
1	"survey_plot"	2018	"245125788"	"Y"	NA	"M"	"DG,LB,R"	"F"	-2078556.45195323	-1964.52864008745	2018-06-20 13:00:00	0
1	"survey_plot"	2018	"245125789"	"Y"	NA	"M"	"DG,LB,O"	"M"	-2078556.45195323	-1964.52864008745	2018-06-20 13:00:00	0
1	"survey_plot"	2018	"245125790"	"Y"	NA	"M"	"DG,LB,DG"	"F"	-2078554.77306572	-1963.41994707507	2018-06-20 13:50:00	0
1	"survey_plot"	2018	"245125791"	"Y"	NA	"M"	"DG,LB,Y"	"M"	-2078554.77306572	-1963.41994707507	2018-06-20 13:50:00	0
1	"survey_plot"	2018	"245125792"	"Y"	NA	"M"	"DG,Y,R"	"M"	-2078353.29367534	-1839.7992560324	2018-06-20 15:40:00	0
1	"survey_plot"	2018	"245125793"	"Y"	NA	"M"	"DG,Y,O"	"M"	-2078565.82263334	-1820.61293115029	2018-06-20 14:40:00	0
1	"survey_plot"	2018	"245125794"	"Y"	NA	"M"	"DG,Y,LB"	"M"	-2078351.62058198	-1832.04878969616	2018-06-20 16:47:00	0
1	"survey_plot"	2018	"245125795"	"Y"	NA	"M"	"DG,Y,DG"	"M"	-2078264.25148352	-1845.80866665598	2018-06-20 17:47:00	0
1	"survey_plot"	2018	"245125796"	"Y"	NA	"M"	"Y,DG,LB"	"M"	-2078650.29659031	-2196.01319714641	2018-06-21 13:23:00	0
1	"survey_plot"	2018	"245125797"	"Y"	NA	"M"	"Y,DG,Y"	"M"	-2078865.00390481	-1635.96068584273	2018-06-21 14:48:00	0
1	"survey_plot"	2018	"245125798"	"Y"	NA	"M"	"DG,O,R"	"M"	-2078865.00390481	-1635.96068584273	2018-06-21 15:40:00	0
1	"survey_plot"	2018	"245125799"	"Y"	NA	"M"	"DG,O,Y"	"M"	-2078865.00390481	-1635.96068584273	2018-06-21 16:20:00	0
1	"survey_plot"	2018	"245125800"	"Y"	NA	"M"	"DG,O,LB"	"F"	-2078865.00390481	-1635.96068584273	2018-06-21 16:20:00	0
0	"study_site"	2018	"245125800"	"Y"	NA	"M"	"G,O,LB"	"F"	-2076099.5638425	354.439847976192	2018-06-22 12:11:00	0
1	"survey_plot"	2017	"245125806"	"R"	NA	"M"	"DG,O,Y"	"M"	-2082183.6009196	4501.0698507094	2017-07-07 18:12:00	0
1	"survey_plot"	2017	"245125819"	"R"	NA	"M"	"DG,O,LB"	"M"	-2082902.13712779	4698.99155231397	2017-07-08 14:48:00	0
1	"survey_plot"	2017	"245125821"	"R"	NA	"M"	"DG,O,R"	"M"	-2083124.31754738	4872.02703230973	2017-06-28 11:00:00	0
1	"survey_plot"	2018	"245125905"	"Y"	NA	"M"	"O,R,DG"	"M"	-2080580.45076256	2928.96453258794	2018-06-26 18:35:00	0
1	"survey_plot"	2018	"245125907"	"Y"	NA	"M"	"O,LB,R"	"M"	-2079372.11455268	348.907077276996	2018-06-28 14:48:00	0
1	"survey_plot"	2018	"245125908"	"Y"	NA	"M"	"O,LB,O"	"M"	-2079390.60815147	247.56931379107	2018-06-28 15:26:00	0
1	"survey_plot"	2018	"245125910"	"Y"	NA	"M"	"O,LB,Y"	"M"	-2078913.33202717	896.941776955771	2018-06-29 16:38:00	0
1	"survey_plot"	2019	"245125913"	"M"	NA	"Y"	"O,Y,R"	"M"	-2084472.30317763	2544.0451780128	2019-06-21 15:25:00	0
1	"survey_plot"	2019	"245125914"	"M"	NA	"Y"	"O,Y,LB"	"M"	-2084186.1223591	2505.86489965617	2019-06-21 16:40:00	0
1	"survey_plot"	2019	"245125915"	"M"	NA	"Y"	"O,Y,DG"	"M"	-2084279.46432581	2692.23041722339	2019-06-21 18:15:00	0
1	"survey_plot"	2018	"245125917"	"Y"	NA	"M"	"O,Y,LB"	"M"	-2079459.47522642	316.801708824635	2018-07-16 12:59:00	0
1	"survey_plot"	2018	"245125919"	"Y"	NA	"M"	"O,Y,R"	"M"	-2081924.32103238	4380.19316973284	2018-07-13 17:57:00	0
1	"survey_plot"	2018	"245125921"	"Y"	NA	"M"	"O,Y,O"	"M"	-2081812.24578413	4550.16513798994	2018-07-11 14:50:00	0
1	"survey_plot"	2018	"245125925"	"Y"	NA	"M"	"O,LB,DG"	"M"	-2082041.04138091	4394.30082777957	2018-07-10 20:37:00	0
1	"survey_plot"	2018	"245125926"	"Y"	NA	"LB,M"	"Y,DG"	"M"	-2078957.93965691	657.226213682985	2018-07-10 17:16:00	0
1	"survey_plot"	2018	"245125927"	"Y"	NA	"LB,M"	"Y,LB"	"M"	-2079261.95553893	799.633765591273	2018-07-10 16:24:00	0
1	"survey_plot"	2018	"245125930"	"Y"	NA	"LB,M"	"Y,R"	"M"	-2082607.7063712	4526.9451986478	2018-07-09 18:33:00	0
